standard_code,chinese_name,category_name,analyte_name,specimen_type,result_type,source_code,source_record_id
1500604A,肌酸激酶测定,酶类,肌酸激酶,血清、血浆,quantitative,WST886_2026,WST886_2026:1500604A
1500704A,乳酸脱氢酶测定,酶类,乳酸脱氢酶,血清、血浆,quantitative,WST886_2026,WST886_2026:1500704A
1500712A,脑脊液乳酸脱氢酶测定,酶类,乳酸脱氢酶,脑脊液,quantitative,WST886_2026,WST886_2026:1500712A
1500804A,乳酸脱氢酶同工酶测定,酶类,乳酸脱氢酶同工酶,血清、血浆,quantitative,WST886_2026,WST886_2026:1500804A
1500904A,γ-谷氨酰基转移酶测定,酶类,γ-谷氨酰基转移酶,血清、血浆,quantitative,WST886_2026,WST886_2026:1500904A
1501004A,α-羟丁酸脱氢酶测定,酶类,α-羟丁酸脱氢酶,血清、血浆,quantitative,WST886_2026,WST886_2026:1501004A
1501104A,胆碱酯酶测定,酶类,胆碱酯酶,血清、血浆,quantitative,WST886_2026,WST886_2026:1501104A
1501204A,脂肪酶测定,酶类,脂肪酶,血清、血浆,quantitative,WST886_2026,WST886_2026:1501204A
1501304A,α-L-岩藻糖苷酶测定,酶类,α-L-岩藻糖苷酶,血清、血浆,quantitative,WST886_2026,WST886_2026:1501304A
1501404A,5′-核苷酸酶测定,酶类,5′-核苷酸酶,血清、血浆,quantitative,WST886_2026,WST886_2026:1501404A
1501504A,腺苷脱氨酶测定,酶类,腺苷脱氨酶,血清、血浆,quantitative,WST886_2026,WST886_2026:1501504A
1501604A,超氧化物歧化酶测定,酶类,超氧化物歧化酶,血清、血浆,quantitative,WST886_2026,WST886_2026:1501604A
1600104A,甲胎蛋白测定,肿瘤标志物,甲胎蛋白,血清、血浆,quantitative,WST886_2026,WST886_2026:1600104A
1600204A,癌胚抗原测定,肿瘤标志物,癌胚抗原,血清、血浆,quantitative,WST886_2026,WST886_2026:1600204A
1600304A,游离前列腺特异性抗原测定,肿瘤标志物,游离前列腺特异性抗原,血清、血浆,quantitative,WST886_2026,WST886_2026:1600304A
1600404A,前列腺特异性抗原测定,肿瘤标志物,前列腺特异性抗原,血清、血浆,quantitative,WST886_2026,WST886_2026:1600404A
1600504A,糖链抗原72-4测定,肿瘤标志物,糖链抗原72-4,血清、血浆,quantitative,WST886_2026,WST886_2026:1600504A
1600604A,糖链抗原125测定,肿瘤标志物,糖链抗原125,血清、血浆,quantitative,WST886_2026,WST886_2026:1600604A
1600704A,糖链抗原15-3测定,肿瘤标志物,糖链抗原15-3,血清、血浆,quantitative,WST886_2026,WST886_2026:1600704A
1600804A,糖链抗原19-9测定,肿瘤标志物,糖链抗原19-9,血清、血浆,quantitative,WST886_2026,WST886_2026:1600804A
1600904A,糖链抗原50测定,肿瘤标志物,糖链抗原50,血清、血浆,quantitative,WST886_2026,WST886_2026:1600904A
1601004A,糖链抗原242测定,肿瘤标志物,糖链抗原242,血清、血浆,quantitative,WST886_2026,WST886_2026:1601004A
1601104A,鳞状细胞癌抗原测定,肿瘤标志物,鳞状细胞癌抗原,血清、血浆,quantitative,WST886_2026,WST886_2026:1601104A
1601204A,β-人绒毛膜促性腺激素测定,肿瘤标志物,β-人绒毛膜促性腺激素,血清、血浆,quantitative,WST886_2026,WST886_2026:1601204A
1601304A,人绒毛膜促性腺激素测定,肿瘤标志物,人绒毛膜促性腺激素,血清、血浆,quantitative,WST886_2026,WST886_2026:1601304A
1601404A,人附睾分泌蛋白4测定,肿瘤标志物,人附睾分泌蛋白4,血清、血浆,quantitative,WST886_2026,WST886_2026:1601404A
1601504A,细胞角蛋白19片段测定,肿瘤标志物,细胞角蛋白19片段,血清、血浆,quantitative,WST886_2026,WST886_2026:1601504A
